"model","training_size","success_ratio"
prob,250,0.675076923077
knn|k=1|norm=1,250,0.735384615385
knn|k=5|norm=1,250,0.744820512821
knn|k=10|norm=1,250,0.728102564103
knn|k=1|norm=2,250,0.757025641026
knn|k=5|norm=2,250,0.761948717949
knn|k=10|norm=2,250,0.742871794872
knn|k=1|norm=-1,250,0.729743589744
knn|k=5|norm=-1,250,0.742461538462
knn|k=10|norm=-1,250,0.725743589744
prob,250,0.670461538462
knn|k=1|norm=1,250,0.722358974359
knn|k=5|norm=1,250,0.750051282051
knn|k=10|norm=1,250,0.738051282051
knn|k=1|norm=2,250,0.732615384615
knn|k=5|norm=2,250,0.760717948718
knn|k=10|norm=2,250,0.740820512821
knn|k=1|norm=-1,250,0.705743589744
knn|k=5|norm=-1,250,0.728307692308
knn|k=10|norm=-1,250,0.721846153846
prob,250,0.709230769231
knn|k=1|norm=1,250,0.760923076923
knn|k=5|norm=1,250,0.762974358974
knn|k=10|norm=1,250,0.744
knn|k=1|norm=2,250,0.771282051282
knn|k=5|norm=2,250,0.77241025641
knn|k=10|norm=2,250,0.752923076923
knn|k=1|norm=-1,250,0.743794871795
knn|k=5|norm=-1,250,0.748205128205
knn|k=10|norm=-1,250,0.728820512821
prob,250,0.642769230769
knn|k=1|norm=1,250,0.761025641026
knn|k=5|norm=1,250,0.769025641026
knn|k=10|norm=1,250,0.751897435897
knn|k=1|norm=2,250,0.767794871795
knn|k=5|norm=2,250,0.783076923077
knn|k=10|norm=2,250,0.759282051282
knn|k=1|norm=-1,250,0.735384615385
knn|k=5|norm=-1,250,0.750051282051
knn|k=10|norm=-1,250,0.729743589744
prob,250,0.654153846154
knn|k=1|norm=1,250,0.750051282051
knn|k=5|norm=1,250,0.755897435897
knn|k=10|norm=1,250,0.737435897436
knn|k=1|norm=2,250,0.763897435897
knn|k=5|norm=2,250,0.769025641026
knn|k=10|norm=2,250,0.74758974359
knn|k=1|norm=-1,250,0.736
knn|k=5|norm=-1,250,0.746153846154
knn|k=10|norm=-1,250,0.728512820513
prob,250,0.674461538462
knn|k=1|norm=1,250,0.74041025641
knn|k=5|norm=1,250,0.747384615385
knn|k=10|norm=1,250,0.724923076923
knn|k=1|norm=2,250,0.75158974359
knn|k=5|norm=2,250,0.754461538462
knn|k=10|norm=2,250,0.732820512821
knn|k=1|norm=-1,250,0.729846153846
knn|k=5|norm=-1,250,0.732102564103
knn|k=10|norm=-1,250,0.708307692308
prob,250,0.707692307692
knn|k=1|norm=1,250,0.738564102564
knn|k=5|norm=1,250,0.753230769231
knn|k=10|norm=1,250,0.730769230769
knn|k=1|norm=2,250,0.750051282051
knn|k=5|norm=2,250,0.759794871795
knn|k=10|norm=2,250,0.736923076923
knn|k=1|norm=-1,250,0.721230769231
knn|k=5|norm=-1,250,0.737948717949
knn|k=10|norm=-1,250,0.717948717949
prob,250,0.685538461538
knn|k=1|norm=1,250,0.740615384615
knn|k=5|norm=1,250,0.755897435897
knn|k=10|norm=1,250,0.739179487179
knn|k=1|norm=2,250,0.756205128205
knn|k=5|norm=2,250,0.764102564103
knn|k=10|norm=2,250,0.748307692308
knn|k=1|norm=-1,250,0.728307692308
knn|k=5|norm=-1,250,0.740307692308
knn|k=10|norm=-1,250,0.723692307692
prob,250,0.662871794872
knn|k=1|norm=1,250,0.75558974359
knn|k=5|norm=1,250,0.756512820513
knn|k=10|norm=1,250,0.740205128205
knn|k=1|norm=2,250,0.766564102564
knn|k=5|norm=2,250,0.770564102564
knn|k=10|norm=2,250,0.751282051282
knn|k=1|norm=-1,250,0.732923076923
knn|k=5|norm=-1,250,0.743076923077
knn|k=10|norm=-1,250,0.728820512821
prob,250,0.698974358974
knn|k=1|norm=1,250,0.774871794872
knn|k=5|norm=1,250,0.772307692308
knn|k=10|norm=1,250,0.754769230769
knn|k=1|norm=2,250,0.782769230769
knn|k=5|norm=2,250,0.785743589744
knn|k=10|norm=2,250,0.765435897436
knn|k=1|norm=-1,250,0.755794871795
knn|k=5|norm=-1,250,0.766666666667
knn|k=10|norm=-1,250,0.748923076923
prob,500,0.788210526316
knn|k=1|norm=1,500,0.799894736842
knn|k=5|norm=1,500,0.818105263158
knn|k=10|norm=1,500,0.807894736842
knn|k=1|norm=2,500,0.809263157895
knn|k=5|norm=2,500,0.824842105263
knn|k=10|norm=2,500,0.814736842105
knn|k=1|norm=-1,500,0.787052631579
knn|k=5|norm=-1,500,0.801684210526
knn|k=10|norm=-1,500,0.794736842105
prob,500,0.74
knn|k=1|norm=1,500,0.795894736842
knn|k=5|norm=1,500,0.816105263158
knn|k=10|norm=1,500,0.806105263158
knn|k=1|norm=2,500,0.804736842105
knn|k=5|norm=2,500,0.819263157895
knn|k=10|norm=2,500,0.810947368421
knn|k=1|norm=-1,500,0.775473684211
knn|k=5|norm=-1,500,0.798315789474
knn|k=10|norm=-1,500,0.790421052632
prob,500,0.775368421053
knn|k=1|norm=1,500,0.789789473684
knn|k=5|norm=1,500,0.81
knn|k=10|norm=1,500,0.800315789474
knn|k=1|norm=2,500,0.800421052632
knn|k=5|norm=2,500,0.821157894737
knn|k=10|norm=2,500,0.810105263158
knn|k=1|norm=-1,500,0.775789473684
knn|k=5|norm=-1,500,0.796947368421
knn|k=10|norm=-1,500,0.792315789474
prob,500,0.788210526316
knn|k=1|norm=1,500,0.790631578947
knn|k=5|norm=1,500,0.808421052632
knn|k=10|norm=1,500,0.802526315789
knn|k=1|norm=2,500,0.803157894737
knn|k=5|norm=2,500,0.817684210526
knn|k=10|norm=2,500,0.814842105263
knn|k=1|norm=-1,500,0.786421052632
knn|k=5|norm=-1,500,0.803473684211
knn|k=10|norm=-1,500,0.801894736842
prob,500,0.726631578947
knn|k=1|norm=1,500,0.789578947368
knn|k=5|norm=1,500,0.797684210526
knn|k=10|norm=1,500,0.789052631579
knn|k=1|norm=2,500,0.8
knn|k=5|norm=2,500,0.804526315789
knn|k=10|norm=2,500,0.796105263158
knn|k=1|norm=-1,500,0.777684210526
knn|k=5|norm=-1,500,0.783789473684
knn|k=10|norm=-1,500,0.779157894737
prob,500,0.778421052632
knn|k=1|norm=1,500,0.787789473684
knn|k=5|norm=1,500,0.809157894737
knn|k=10|norm=1,500,0.792631578947
knn|k=1|norm=2,500,0.798526315789
knn|k=5|norm=2,500,0.814
knn|k=10|norm=2,500,0.799263157895
knn|k=1|norm=-1,500,0.782
knn|k=5|norm=-1,500,0.797894736842
knn|k=10|norm=-1,500,0.786105263158
prob,500,0.810210526316
knn|k=1|norm=1,500,0.796842105263
knn|k=5|norm=1,500,0.805894736842
knn|k=10|norm=1,500,0.787473684211
knn|k=1|norm=2,500,0.808421052632
knn|k=5|norm=2,500,0.814315789474
knn|k=10|norm=2,500,0.801052631579
knn|k=1|norm=-1,500,0.787789473684
knn|k=5|norm=-1,500,0.796526315789
knn|k=10|norm=-1,500,0.781263157895
prob,500,0.804526315789
knn|k=1|norm=1,500,0.777789473684
knn|k=5|norm=1,500,0.802315789474
knn|k=10|norm=1,500,0.797684210526
knn|k=1|norm=2,500,0.792736842105
knn|k=5|norm=2,500,0.810421052632
knn|k=10|norm=2,500,0.801263157895
knn|k=1|norm=-1,500,0.765578947368
knn|k=5|norm=-1,500,0.784526315789
knn|k=10|norm=-1,500,0.782105263158
prob,500,0.818842105263
knn|k=1|norm=1,500,0.788526315789
knn|k=5|norm=1,500,0.804842105263
knn|k=10|norm=1,500,0.800631578947
knn|k=1|norm=2,500,0.803578947368
knn|k=5|norm=2,500,0.817578947368
knn|k=10|norm=2,500,0.812105263158
knn|k=1|norm=-1,500,0.776947368421
knn|k=5|norm=-1,500,0.796526315789
knn|k=10|norm=-1,500,0.793157894737
prob,500,0.743368421053
knn|k=1|norm=1,500,0.779052631579
knn|k=5|norm=1,500,0.810842105263
knn|k=10|norm=1,500,0.807052631579
knn|k=1|norm=2,500,0.792631578947
knn|k=5|norm=2,500,0.819263157895
knn|k=10|norm=2,500,0.813263157895
knn|k=1|norm=-1,500,0.767473684211
knn|k=5|norm=-1,500,0.802421052632
knn|k=10|norm=-1,500,0.795263157895
prob,1000,0.829333333333
knn|k=1|norm=1,1000,0.823555555556
knn|k=5|norm=1,1000,0.852111111111
knn|k=10|norm=1,1000,0.844
knn|k=1|norm=2,1000,0.833666666667
knn|k=5|norm=2,1000,0.853222222222
knn|k=10|norm=2,1000,0.85
knn|k=1|norm=-1,1000,0.809888888889
knn|k=5|norm=-1,1000,0.836666666667
knn|k=10|norm=-1,1000,0.830666666667
prob,1000,0.838333333333
knn|k=1|norm=1,1000,0.822444444444
knn|k=5|norm=1,1000,0.841777777778
knn|k=10|norm=1,1000,0.840888888889
knn|k=1|norm=2,1000,0.832222222222
knn|k=5|norm=2,1000,0.851444444444
knn|k=10|norm=2,1000,0.846888888889
knn|k=1|norm=-1,1000,0.812
knn|k=5|norm=-1,1000,0.835111111111
knn|k=10|norm=-1,1000,0.834888888889
prob,1000,0.855555555556
knn|k=1|norm=1,1000,0.823
knn|k=5|norm=1,1000,0.841555555556
knn|k=10|norm=1,1000,0.838222222222
knn|k=1|norm=2,1000,0.837
knn|k=5|norm=2,1000,0.851777777778
knn|k=10|norm=2,1000,0.843555555556
knn|k=1|norm=-1,1000,0.816
knn|k=5|norm=-1,1000,0.832
knn|k=10|norm=-1,1000,0.832222222222
prob,1000,0.841222222222
knn|k=1|norm=1,1000,0.816333333333
knn|k=5|norm=1,1000,0.838777777778
knn|k=10|norm=1,1000,0.836888888889
knn|k=1|norm=2,1000,0.827888888889
knn|k=5|norm=2,1000,0.850555555556
knn|k=10|norm=2,1000,0.844111111111
knn|k=1|norm=-1,1000,0.804222222222
knn|k=5|norm=-1,1000,0.827
knn|k=10|norm=-1,1000,0.827444444444
prob,1000,0.849888888889
knn|k=1|norm=1,1000,0.812555555556
knn|k=5|norm=1,1000,0.833333333333
knn|k=10|norm=1,1000,0.821666666667
knn|k=1|norm=2,1000,0.821111111111
knn|k=5|norm=2,1000,0.839444444444
knn|k=10|norm=2,1000,0.828777777778
knn|k=1|norm=-1,1000,0.802111111111
knn|k=5|norm=-1,1000,0.822888888889
knn|k=10|norm=-1,1000,0.817333333333
prob,1000,0.828333333333
knn|k=1|norm=1,1000,0.821888888889
knn|k=5|norm=1,1000,0.842444444444
knn|k=10|norm=1,1000,0.837777777778
knn|k=1|norm=2,1000,0.834444444444
knn|k=5|norm=2,1000,0.853666666667
knn|k=10|norm=2,1000,0.849111111111
knn|k=1|norm=-1,1000,0.817444444444
knn|k=5|norm=-1,1000,0.836333333333
knn|k=10|norm=-1,1000,0.831666666667
prob,1000,0.838666666667
knn|k=1|norm=1,1000,0.82
knn|k=5|norm=1,1000,0.842222222222
